source,competition,season,stage,match_id,date,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,over_7_5,over_8_5,over_9_5,over_10_5
statsbomb,FIFA World Cup,2022,Round of 16,3869253,2022-12-05,Brazil,South Korea,4,1,5,4,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869152,2022-12-04,France,Poland,3,1,7,1,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869117,2022-12-03,Netherlands,United States,3,1,4,5,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857270,2022-11-28,Portugal,Uruguay,2,0,6,2,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857263,2022-11-27,Spain,Germany,1,1,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857259,2022-11-28,Cameroon,Serbia,3,3,4,3,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857283,2022-11-27,Belgium,Morocco,0,2,9,1,10,1,1,1,0
statsbomb,FIFA World Cup,2022,Group Stage,3857286,2022-11-20,Qatar,Ecuador,0,2,1,3,4,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,9,2,11,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857299,2022-11-28,South Korea,Ghana,2,3,12,5,17,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857293,2022-12-02,Ghana,Uruguay,0,2,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857291,2022-11-23,Spain,Costa Rica,7,0,5,0,5,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857281,2022-11-27,Croatia,Canada,4,1,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857280,2022-12-02,Cameroon,Brazil,1,0,3,11,14,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857279,2022-11-22,France,Australia,4,1,8,1,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857262,2022-12-02,South Korea,Portugal,2,1,5,4,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Quarter-finals,8650,2018-07-06,Brazil,Belgium,1,2,8,4,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Round of 16,7584,2018-07-02,Belgium,Japan,3,2,8,4,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7554,2018-06-24,England,Panama,6,1,3,2,5,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7539,2018-06-19,Poland,Senegal,1,2,3,3,6,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7550,2018-06-22,Serbia,Switzerland,1,2,3,7,10,1,1,1,0
statsbomb,FIFA World Cup,2018,Group Stage,7538,2018-06-18,Sweden,South Korea,1,0,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7534,2018-06-17,Germany,Mexico,0,1,6,1,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7543,2018-06-20,Iran,Spain,0,1,2,6,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7544,2018-06-20,Uruguay,Saudi Arabia,1,0,3,2,5,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7546,2018-06-21,France,Peru,1,0,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7545,2018-06-21,Argentina,Croatia,0,3,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7585,2018-07-03,Colombia,England,1,1,2,7,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7569,2018-06-28,Panama,Tunisia,1,2,0,6,6,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7572,2018-06-28,Japan,Poland,0,1,5,7,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7561,2018-06-26,Iceland,Croatia,1,2,10,5,15,1,1,1,1
